indonesia,osing
saya memukul nasi dari pasar,isun nyampat sego teko pasar
mereka mengambil anak,wong-wong njuwut lare
nenek menyapu pisau,embyah nyapu lading
mereka memanggil pisau dari dapur,wong-wong ngundang lading teko pawon
dia memanggil buku,yane ngundang buku
anak membawa pisang di sungai,lare nggowo gedhang nong kali
mereka mencium nasi di bukit,wong-wong ngambung sego nong puthuk
aku memukul pisau ke dapur,isun nyampat lading nyang pawon
anak membawa pisau ke sungai,lare nggowo lading nyang kali
dia menyimpan buku,yane nyimpen buku
kamu mengambil buku dari bukit,riko njuwut buku teko puthuk
bapak melihat air di bukit,bapak ndeleng byanyu nong puthuk
ibu mengambil buku ke dapur,mak njuwut buku nyang pawon
anak mengambil buku di bukit,lare njuwut buku nong puthuk
saya memukul anak dari pasar,isun nyampat lare teko pasar
saya membawa sayur dari sungai,isun nggowo jangan teko kali
kamu memasak pisau ke dapur,riko ngolah lading nyang pawon
nenek membawa pisau ke pasar,embyah nggowo lading nyang pasar
ibu membawa sayur,mak nggowo jangan
anak membawa air di pasar,lare nggowo byanyu nong pasar
mereka melihat nasi di rumah,wong-wong ndeleng sego nong umah
nenek mengambil bunga di sungai,embyah njuwut kembang nong kali
mereka melihat nasi,wong-wong ndeleng sego
kamu memukul pisang dari pasar,riko nyampat gedhang teko pasar
mereka mengambil air dari rumah,wong-wong njuwut byanyu teko umah
anak mengambil bunga ke bukit,lare njuwut kembang nyang puthuk
kamu memasak sayur di bukit,riko ngolah jangan nong puthuk
bapak menyapu pisau dari rumah,bapak nyapu lading teko umah
bapak menyapu anak,bapak nyapu lare
bapak melihat bunga dari pasar,bapak ndeleng kembang teko pasar
dia membawa kunci di rumah,yane nggowo kunci nong umah
kamu menyapu buku dari sungai,riko nyapu buku teko kali
saya memukul anak,isun nyampat lare
nenek menyapu anak,embyah nyapu lare
aku menyapu air di bukit,isun nyapu byanyu nong puthuk
nenek melihat air dari pasar,embyah ndeleng byanyu teko pasar
aku melihat air dari bukit,isun ndeleng byanyu teko puthuk
anak mengambil kunci,lare njuwut kunci
nenek membawa bunga,embyah nggowo kembang
aku mencium bunga dari bukit,isun ngambung kembang teko puthuk
saya mencium nasi ke bukit,isun ngambung sego nyang puthuk
aku memukul buku dari dapur,isun nyampat buku teko pawon
nenek mencium kunci di sungai,embyah ngambung kunci nong kali
saya melihat pisau di bukit,isun ndeleng lading nong puthuk
dia menyimpan nasi di bukit,yane nyimpen sego nong puthuk
saya melihat bunga,isun ndeleng kembang
saya memanggil pisau,isun ngundang lading
bapak memanggil buku ke rumah,bapak ngundang buku nyang umah
kamu menyapu air dari bukit,riko nyapu byanyu teko puthuk
ibu menyimpan sayur dari pasar,mak nyimpen jangan teko pasar
anak melihat buku ke bukit,lare ndeleng buku nyang puthuk
aku memasak pisau dari sungai,isun ngolah lading teko kali
saya mengambil pisang,isun njuwut gedhang
bapak mencium air dari rumah,bapak ngambung byanyu teko umah
kamu memanggil kunci,riko ngundang kunci
anak memanggil sayur,lare ngundang jangan
ibu memukul pisang di bukit,mak nyampat gedhang nong puthuk
saya melihat pisang,isun ndeleng gedhang
dia melihat pisau,yane ndeleng lading
mereka menyimpan bunga dari sungai,wong-wong nyimpen kembang teko kali
aku memasak anak dari rumah,isun ngolah lare teko umah
anak memasak buku ke pasar,lare ngolah buku nyang pasar
anak menyapu buku,lare nyapu buku
aku melihat buku ke pasar,isun ndeleng buku nyang pasar
bapak memukul pisau di rumah,bapak nyampat lading nong umah
bapak membawa bunga ke bukit,bapak nggowo kembang nyang puthuk
bapak memasak nasi ke sungai,bapak ngolah sego nyang kali
kamu mengambil pisau dari sungai,riko njuwut lading teko kali
anak mengambil pisau,lare njuwut lading
ibu melihat anak,mak ndeleng lare
nenek melihat pisau ke sungai,embyah ndeleng lading nyang kali
aku menyimpan pisang dari sungai,isun nyimpen gedhang teko kali
nenek melihat pisau,embyah ndeleng lading
saya menyapu pisau dari rumah,isun nyapu lading teko umah
bapak mengambil sayur di rumah,bapak njuwut jangan nong umah
ibu memukul pisau,mak nyampat lading
aku memasak bunga,isun ngolah kembang
dia mengambil nasi,yane njuwut sego
bapak memanggil buku dari dapur,bapak ngundang buku teko pawon
kamu memanggil anak di sungai,riko ngundang lare nong kali
aku memukul air,isun nyampat byanyu
saya membawa kunci dari sungai,isun nggowo kunci teko kali
aku mengambil anak ke sungai,isun njuwut lare nyang kali
nenek melihat bunga di pasar,embyah ndeleng kembang nong pasar
bapak memukul buku ke bukit,bapak nyampat buku nyang puthuk
ibu melihat kunci dari sungai,mak ndeleng kunci teko kali
kamu mencium bunga dari rumah,riko ngambung kembang teko umah
dia menyimpan air di bukit,yane nyimpen byanyu nong puthuk
saya memanggil anak,isun ngundang lare
ibu membawa pisang dari pasar,mak nggowo gedhang teko pasar
bapak membawa pisang,bapak nggowo gedhang
ibu melihat pisang dari sungai,mak ndeleng gedhang teko kali
dia menyimpan buku,yane nyimpen buku
bapak mengambil pisau dari pasar,bapak njuwut lading teko pasar
kamu menyapu nasi,riko nyapu sego
mereka menyimpan pisang dari pasar,wong-wong nyimpen gedhang teko pasar
ibu melihat kunci ke rumah,mak ndeleng kunci nyang umah
aku menyapu pisang ke pasar,isun nyapu gedhang nyang pasar
kamu menyapu air di sungai,riko nyapu byanyu nong kali
ibu mencium bunga ke pasar,mak ngambung kembang nyang pasar
dia menyapu nasi,yane nyapu sego
dia memukul pisau dari sungai,yane nyampat lading teko kali
dia mencium nasi dari pasar,yane ngambung sego teko pasar
anak menyimpan buku dari pasar,lare nyimpen buku teko pasar
kamu melihat air,riko ndeleng byanyu
saya memukul pisang,isun nyampat gedhang
saya mencium kunci dari sungai,isun ngambung kunci teko kali
kamu memasak pisang ke pasar,riko ngolah gedhang nyang pasar
bapak memukul buku ke dapur,bapak nyampat buku nyang pawon
ibu memukul air di dapur,mak nyampat byanyu nong pawon
saya membawa sayur,isun nggowo jangan
mereka memukul kunci ke sungai,wong-wong nyampat kunci nyang kali
nenek menyimpan anak dari bukit,embyah nyimpen lare teko puthuk
saya memanggil pisau di bukit,isun ngundang lading nong puthuk
saya mengambil kunci ke rumah,isun njuwut kunci nyang umah
bapak memasak nasi di dapur,bapak ngolah sego nong pawon
kamu menyapu bunga di rumah,riko nyapu kembang nong umah
mereka mencium air dari rumah,wong-wong ngambung byanyu teko umah
mereka mengambil air ke rumah,wong-wong njuwut byanyu nyang umah
ibu mencium air di rumah,mak ngambung byanyu nong umah
saya membawa buku di dapur,isun nggowo buku nong pawon
aku mencium pisang di rumah,isun ngambung gedhang nong umah
saya menyimpan nasi di bukit,isun nyimpen sego nong puthuk
ibu melihat anak di pasar,mak ndeleng lare nong pasar
aku menyapu pisang,isun nyapu gedhang
ibu memanggil bunga ke pasar,mak ngundang kembang nyang pasar
nenek membawa sayur di pasar,embyah nggowo jangan nong pasar
ibu memanggil pisau dari sungai,mak ngundang lading teko kali
ibu melihat buku ke pasar,mak ndeleng buku nyang pasar
ibu memukul nasi ke dapur,mak nyampat sego nyang pawon
saya memasak kunci dari bukit,isun ngolah kunci teko puthuk
anak menyimpan nasi dari pasar,lare nyimpen sego teko pasar
mereka mengambil buku ke rumah,wong-wong njuwut buku nyang umah
dia menyimpan buku,yane nyimpen buku
bapak melihat sayur ke sungai,bapak ndeleng jangan nyang kali
dia mencium pisang di bukit,yane ngambung gedhang nong puthuk
kamu membawa air,riko nggowo byanyu
bapak memukul sayur di pasar,bapak nyampat jangan nong pasar
ibu mengambil anak dari pasar,mak njuwut lare teko pasar
nenek memanggil bunga dari pasar,embyah ngundang kembang teko pasar
aku membawa nasi di rumah,isun nggowo sego nong umah
saya mencium kunci dari sungai,isun ngambung kunci teko kali
saya mengambil buku dari sungai,isun njuwut buku teko kali
anak menyimpan air di bukit,lare nyimpen byanyu nong puthuk
anak melihat kunci dari dapur,lare ndeleng kunci teko pawon
mereka mencium bunga ke sungai,wong-wong ngambung kembang nyang kali
ibu mengambil kunci dari bukit,mak njuwut kunci teko puthuk
aku mencium air di pasar,isun ngambung byanyu nong pasar
bapak melihat kunci,bapak ndeleng kunci
nenek melihat sayur dari pasar,embyah ndeleng jangan teko pasar
ibu memanggil bunga,mak ngundang kembang
ibu memanggil pisau di pasar,mak ngundang lading nong pasar
aku melihat pisau,isun ndeleng lading
aku memukul buku,isun nyampat buku
bapak mencium air ke bukit,bapak ngambung byanyu nyang puthuk
kamu menyapu anak ke bukit,riko nyapu lare nyang puthuk
kamu memanggil anak dari sungai,riko ngundang lare teko kali
nenek membawa buku di rumah,embyah nggowo buku nong umah
anak mencium pisang,lare ngambung gedhang
bapak mencium anak dari dapur,bapak ngambung lare teko pawon
nenek menyapu sayur ke bukit,embyah nyapu jangan nyang puthuk
ibu mengambil anak dari sungai,mak njuwut lare teko kali
aku menyapu buku di pasar,isun nyapu buku nong pasar
anak menyapu anak ke bukit,lare nyapu lare nyang puthuk
dia melihat bunga dari bukit,yane ndeleng kembang teko puthuk
nenek memanggil bunga di rumah,embyah ngundang kembang nong umah
kamu memukul pisang di bukit,riko nyampat gedhang nong puthuk
ibu memanggil bunga di pasar,mak ngundang kembang nong pasar
nenek menyapu buku,embyah nyapu buku
bapak mencium buku dari pasar,bapak ngambung buku teko pasar
kamu membawa pisau di dapur,riko nggowo lading nong pawon
aku mencium sayur,isun ngambung jangan
mereka melihat buku ke pasar,wong-wong ndeleng buku nyang pasar
bapak mengambil buku di dapur,bapak njuwut buku nong pawon
anak mencium air dari pasar,lare ngambung byanyu teko pasar
saya mencium air dari sungai,isun ngambung byanyu teko kali
kamu melihat kunci di bukit,riko ndeleng kunci nong puthuk
dia memanggil sayur dari dapur,yane ngundang jangan teko pawon
nenek mencium kunci ke dapur,embyah ngambung kunci nyang pawon
anak mencium bunga,lare ngambung kembang
bapak memasak kunci,bapak ngolah kunci
dia menyapu sayur di bukit,yane nyapu jangan nong puthuk
aku membawa sayur dari dapur,isun nggowo jangan teko pawon
mereka mengambil bunga di sungai,wong-wong njuwut kembang nong kali
saya menyimpan nasi,isun nyimpen sego
bapak melihat air ke dapur,bapak ndeleng byanyu nyang pawon
mereka menyapu sayur ke dapur,wong-wong nyapu jangan nyang pawon
dia mengambil pisau di rumah,yane njuwut lading nong umah
saya menyapu kunci dari sungai,isun nyapu kunci teko kali
bapak menyimpan air di bukit,bapak nyimpen byanyu nong puthuk
aku menyimpan pisau dari pasar,isun nyimpen lading teko pasar
saya mengambil sayur dari sungai,isun njuwut jangan teko kali
mereka membawa bunga ke pasar,wong-wong nggowo kembang nyang pasar
kamu mencium pisang,riko ngambung gedhang
mereka memukul buku ke dapur,wong-wong nyampat buku nyang pawon
anak menyimpan pisang,lare nyimpen gedhang
anak memasak bunga,lare ngolah kembang
nenek menyimpan pisang di bukit,embyah nyimpen gedhang nong puthuk
anak menyapu sayur ke dapur,lare nyapu jangan nyang pawon
nenek membawa bunga dari pasar,embyah nggowo kembang teko pasar
aku mencium sayur dari rumah,isun ngambung jangan teko umah
aku membawa anak,isun nggowo lare
nenek mencium air ke dapur,embyah ngambung byanyu nyang pawon
mereka memukul buku ke rumah,wong-wong nyampat buku nyang umah
nenek membawa anak ke dapur,embyah nggowo lare nyang pawon
mereka memukul nasi dari bukit,wong-wong nyampat sego teko puthuk
kamu melihat nasi dari sungai,riko ndeleng sego teko kali
aku melihat kunci dari bukit,isun ndeleng kunci teko puthuk
aku memukul air di dapur,isun nyampat byanyu nong pawon
bapak mengambil pisang di bukit,bapak njuwut gedhang nong puthuk
nenek melihat kunci ke pasar,embyah ndeleng kunci nyang pasar
bapak melihat anak di pasar,bapak ndeleng lare nong pasar
saya memukul kunci,isun nyampat kunci
saya memasak buku dari dapur,isun ngolah buku teko pawon
nenek menyapu bunga dari rumah,embyah nyapu kembang teko umah
mereka memasak anak di bukit,wong-wong ngolah lare nong puthuk
anak membawa bunga ke dapur,lare nggowo kembang nyang pawon
saya memukul buku ke pasar,isun nyampat buku nyang pasar
aku memukul kunci di rumah,isun nyampat kunci nong umah
saya melihat sayur ke bukit,isun ndeleng jangan nyang puthuk
mereka mencium anak,wong-wong ngambung lare
saya menyapu sayur dari sungai,isun nyapu jangan teko kali
kamu melihat nasi,riko ndeleng sego
aku memanggil pisau dari rumah,isun ngundang lading teko umah
aku mencium buku,isun ngambung buku
nenek menyapu kunci di pasar,embyah nyapu kunci nong pasar
anak menyapu kunci di pasar,lare nyapu kunci nong pasar
bapak melihat buku dari bukit,bapak ndeleng buku teko puthuk
saya memasak nasi ke bukit,isun ngolah sego nyang puthuk
nenek memukul buku,embyah nyampat buku
anak memanggil sayur di rumah,lare ngundang jangan nong umah
ibu memasak air dari pasar,mak ngolah byanyu teko pasar
ibu mengambil kunci,mak njuwut kunci
ibu membawa buku ke bukit,mak nggowo buku nyang puthuk
bapak memukul buku ke sungai,bapak nyampat buku nyang kali
anak menyapu pisang ke bukit,lare nyapu gedhang nyang puthuk
nenek melihat pisang dari rumah,embyah ndeleng gedhang teko umah
aku membawa buku dari pasar,isun nggowo buku teko pasar
bapak memanggil sayur di dapur,bapak ngundang jangan nong pawon
kamu mengambil buku dari rumah,riko njuwut buku teko umah
bapak membawa anak ke pasar,bapak nggowo lare nyang pasar
bapak menyimpan sayur dari sungai,bapak nyimpen jangan teko kali
nenek mengambil pisang,embyah njuwut gedhang
nenek memukul air,embyah nyampat byanyu
kamu melihat kunci dari sungai,riko ndeleng kunci teko kali
mereka memanggil buku di dapur,wong-wong ngundang buku nong pawon
bapak memukul bunga di dapur,bapak nyampat kembang nong pawon
kamu memasak pisau,riko ngolah lading
ibu mencium anak ke pasar,mak ngambung lare nyang pasar
saya mencium nasi dari sungai,isun ngambung sego teko kali
aku memasak air dari bukit,isun ngolah byanyu teko puthuk
dia memasak anak dari bukit,yane ngolah lare teko puthuk
aku mencium pisau,isun ngambung lading
anak menyimpan air ke dapur,lare nyimpen byanyu nyang pawon
kamu menyapu buku dari sungai,riko nyapu buku teko kali
saya menyimpan nasi,isun nyimpen sego
aku memukul bunga,isun nyampat kembang
ibu memasak air ke rumah,mak ngolah byanyu nyang umah
nenek melihat air ke bukit,embyah ndeleng byanyu nyang puthuk
dia memanggil nasi di rumah,yane ngundang sego nong umah
dia memukul pisau di rumah,yane nyampat lading nong umah
kamu mengambil bunga dari pasar,riko njuwut kembang teko pasar
bapak membawa pisau di pasar,bapak nggowo lading nong pasar
ibu menyapu air dari rumah,mak nyapu byanyu teko umah
anak memukul sayur,lare nyampat jangan
saya mencium buku dari pasar,isun ngambung buku teko pasar
saya memukul air,isun nyampat byanyu
saya melihat bunga ke rumah,isun ndeleng kembang nyang umah
saya membawa buku dari pasar,isun nggowo buku teko pasar
saya memasak bunga,isun ngolah kembang
dia memanggil sayur,yane ngundang jangan
dia memanggil buku dari dapur,yane ngundang buku teko pawon
nenek memukul bunga dari dapur,embyah nyampat kembang teko pawon
bapak memukul anak dari rumah,bapak nyampat lare teko umah
nenek mengambil anak dari rumah,embyah njuwut lare teko umah
kamu menyapu nasi,riko nyapu sego
aku memanggil anak dari bukit,isun ngundang lare teko puthuk
ibu melihat kunci,mak ndeleng kunci
dia menyapu bunga di rumah,yane nyapu kembang nong umah
saya menyimpan anak,isun nyimpen lare
mereka menyimpan sayur dari sungai,wong-wong nyimpen jangan teko kali
ibu melihat kunci di sungai,mak ndeleng kunci nong kali
saya memanggil air ke rumah,isun ngundang byanyu nyang umah
saya menyapu nasi dari dapur,isun nyapu sego teko pawon
mereka mengambil anak di rumah,wong-wong njuwut lare nong umah
nenek melihat buku di bukit,embyah ndeleng buku nong puthuk
kamu memasak kunci dari rumah,riko ngolah kunci teko umah
nenek mencium buku ke pasar,embyah ngambung buku nyang pasar
anak membawa anak ke pasar,lare nggowo lare nyang pasar
aku memanggil anak,isun ngundang lare
kamu melihat sayur ke dapur,riko ndeleng jangan nyang pawon
nenek membawa anak dari dapur,embyah nggowo lare teko pawon
nenek menyapu pisau dari rumah,embyah nyapu lading teko umah
saya melihat nasi dari rumah,isun ndeleng sego teko umah
dia memukul pisau,yane nyampat lading
saya mencium kunci,isun ngambung kunci
nenek membawa kunci dari dapur,embyah nggowo kunci teko pawon
anak membawa pisau di rumah,lare nggowo lading nong umah
mereka mencium bunga,wong-wong ngambung kembang
dia memanggil kunci di bukit,yane ngundang kunci nong puthuk
ibu membawa nasi ke bukit,mak nggowo sego nyang puthuk
bapak membawa buku,bapak nggowo buku
saya membawa buku dari pasar,isun nggowo buku teko pasar
ibu mencium air di pasar,mak ngambung byanyu nong pasar
dia menyimpan pisang dari pasar,yane nyimpen gedhang teko pasar
bapak membawa anak ke dapur,bapak nggowo lare nyang pawon
saya mengambil pisang di rumah,isun njuwut gedhang nong umah
mereka membawa nasi dari bukit,wong-wong nggowo sego teko puthuk
saya menyimpan air,isun nyimpen byanyu
anak melihat sayur,lare ndeleng jangan
saya menyapu kunci dari rumah,isun nyapu kunci teko umah
mereka memasak pisau ke pasar,wong-wong ngolah lading nyang pasar
saya memasak buku ke bukit,isun ngolah buku nyang puthuk
aku membawa sayur,isun nggowo jangan
anak membawa sayur,lare nggowo jangan
kamu menyimpan bunga dari bukit,riko nyimpen kembang teko puthuk
nenek menyimpan nasi ke rumah,embyah nyimpen sego nyang umah
saya mencium buku di sungai,isun ngambung buku nong kali
anak mencium bunga di pasar,lare ngambung kembang nong pasar
nenek memanggil pisau dari rumah,embyah ngundang lading teko umah
saya memukul pisau,isun nyampat lading
kamu memanggil anak di pasar,riko ngundang lare nong pasar
bapak mencium pisau ke rumah,bapak ngambung lading nyang umah
dia menyapu kunci dari dapur,yane nyapu kunci teko pawon
kamu mencium nasi ke rumah,riko ngambung sego nyang umah
kamu menyapu bunga di dapur,riko nyapu kembang nong pawon
kamu membawa air ke sungai,riko nggowo byanyu nyang kali
anak menyapu sayur,lare nyapu jangan
ibu menyimpan buku di rumah,mak nyimpen buku nong umah
mereka mengambil buku dari rumah,wong-wong njuwut buku teko umah
anak melihat pisau,lare ndeleng lading
ibu membawa buku dari pasar,mak nggowo buku teko pasar
nenek memanggil kunci di sungai,embyah ngundang kunci nong kali
dia memanggil bunga di rumah,yane ngundang kembang nong umah
bapak memukul anak di sungai,bapak nyampat lare nong kali
mereka memanggil buku ke bukit,wong-wong ngundang buku nyang puthuk
kamu melihat pisau ke rumah,riko ndeleng lading nyang umah
aku memasak sayur di pasar,isun ngolah jangan nong pasar
aku melihat sayur ke bukit,isun ndeleng jangan nyang puthuk
dia menyapu buku,yane nyapu buku
dia memasak buku di pasar,yane ngolah buku nong pasar
nenek menyimpan air dari sungai,embyah nyimpen byanyu teko kali
kamu melihat pisang ke rumah,riko ndeleng gedhang nyang umah
mereka membawa bunga di sungai,wong-wong nggowo kembang nong kali
bapak menyimpan air ke bukit,bapak nyimpen byanyu nyang puthuk
aku membawa nasi dari bukit,isun nggowo sego teko puthuk
mereka menyapu pisang,wong-wong nyapu gedhang
ibu memukul bunga ke pasar,mak nyampat kembang nyang pasar
bapak mengambil buku,bapak njuwut buku
dia melihat anak,yane ndeleng lare
aku mencium air di sungai,isun ngambung byanyu nong kali
saya membawa anak ke sungai,isun nggowo lare nyang kali
bapak memanggil sayur dari pasar,bapak ngundang jangan teko pasar
bapak memasak pisang,bapak ngolah gedhang
nenek memukul sayur ke sungai,embyah nyampat jangan nyang kali
saya mencium sayur dari pasar,isun ngambung jangan teko pasar
nenek melihat kunci dari pasar,embyah ndeleng kunci teko pasar
bapak membawa pisang di pasar,bapak nggowo gedhang nong pasar
nenek menyimpan bunga dari rumah,embyah nyimpen kembang teko umah
kamu membawa bunga di sungai,riko nggowo kembang nong kali
mereka mencium kunci,wong-wong ngambung kunci
anak mengambil pisang,lare njuwut gedhang
mereka mengambil pisau di pasar,wong-wong njuwut lading nong pasar
kamu memasak anak di dapur,riko ngolah lare nong pawon
saya menyimpan air,isun nyimpen byanyu
aku memukul pisau dari bukit,isun nyampat lading teko puthuk
bapak memukul air di dapur,bapak nyampat byanyu nong pawon
kamu melihat kunci dari dapur,riko ndeleng kunci teko pawon
ibu memanggil air dari dapur,mak ngundang byanyu teko pawon
dia menyapu sayur,yane nyapu jangan
dia menyapu air ke rumah,yane nyapu byanyu nyang umah
ibu membawa pisang dari pasar,mak nggowo gedhang teko pasar
anak melihat buku di rumah,lare ndeleng buku nong umah
anak mencium sayur di sungai,lare ngambung jangan nong kali
ibu memasak kunci di dapur,mak ngolah kunci nong pawon
kamu memanggil kunci dari rumah,riko ngundang kunci teko umah
saya menyimpan sayur dari pasar,isun nyimpen jangan teko pasar
aku menyapu pisang ke sungai,isun nyapu gedhang nyang kali
nenek membawa air ke pasar,embyah nggowo byanyu nyang pasar
mereka memasak pisau ke bukit,wong-wong ngolah lading nyang puthuk
mereka menyimpan air ke pasar,wong-wong nyimpen byanyu nyang pasar
aku memasak bunga dari sungai,isun ngolah kembang teko kali
kamu membawa sayur dari pasar,riko nggowo jangan teko pasar
nenek menyapu sayur ke dapur,embyah nyapu jangan nyang pawon
mereka menyimpan pisau dari rumah,wong-wong nyimpen lading teko umah
aku memanggil sayur dari bukit,isun ngundang jangan teko puthuk
anak memukul sayur,lare nyampat jangan
kamu memukul kunci dari rumah,riko nyampat kunci teko umah
dia memasak air di bukit,yane ngolah byanyu nong puthuk
ibu memasak air,mak ngolah byanyu
mereka memanggil buku di pasar,wong-wong ngundang buku nong pasar
nenek menyimpan kunci ke rumah,embyah nyimpen kunci nyang umah
saya memasak pisang di bukit,isun ngolah gedhang nong puthuk
aku melihat bunga di pasar,isun ndeleng kembang nong pasar
ibu menyapu bunga di pasar,mak nyapu kembang nong pasar
aku mencium anak dari bukit,isun ngambung lare teko puthuk
bapak mencium kunci di dapur,bapak ngambung kunci nong pawon
nenek mencium sayur ke pasar,embyah ngambung jangan nyang pasar
ibu membawa buku,mak nggowo buku
aku mencium anak ke sungai,isun ngambung lare nyang kali
dia melihat anak di dapur,yane ndeleng lare nong pawon
bapak membawa pisang dari pasar,bapak nggowo gedhang teko pasar
bapak mencium air di pasar,bapak ngambung byanyu nong pasar
anak membawa nasi di bukit,lare nggowo sego nong puthuk
saya membawa bunga ke pasar,isun nggowo kembang nyang pasar
ibu memasak pisau dari sungai,mak ngolah lading teko kali
kamu membawa nasi dari sungai,riko nggowo sego teko kali
dia menyapu pisau di sungai,yane nyapu lading nong kali
anak memukul bunga ke pasar,lare nyampat kembang nyang pasar
mereka membawa air ke rumah,wong-wong nggowo byanyu nyang umah
bapak melihat sayur ke bukit,bapak ndeleng jangan nyang puthuk
nenek memukul air di rumah,embyah nyampat byanyu nong umah
ibu memukul nasi,mak nyampat sego
anak mengambil pisau dari dapur,lare njuwut lading teko pawon
mereka memukul sayur di pasar,wong-wong nyampat jangan nong pasar
nenek mengambil pisang,embyah njuwut gedhang
ibu memasak pisang ke dapur,mak ngolah gedhang nyang pawon
mereka menyapu kunci di rumah,wong-wong nyapu kunci nong umah
kamu memasak sayur di sungai,riko ngolah jangan nong kali
bapak memukul pisang,bapak nyampat gedhang
saya membawa kunci ke dapur,isun nggowo kunci nyang pawon
ibu memanggil air ke dapur,mak ngundang byanyu nyang pawon
nenek memasak pisang di rumah,embyah ngolah gedhang nong umah
aku memukul anak ke sungai,isun nyampat lare nyang kali
kamu memanggil pisau ke bukit,riko ngundang lading nyang puthuk
kamu memukul kunci,riko nyampat kunci
mereka memasak sayur,wong-wong ngolah jangan
dia menyimpan kunci ke dapur,yane nyimpen kunci nyang pawon
kamu melihat buku ke pasar,riko ndeleng buku nyang pasar
anak menyimpan pisau ke bukit,lare nyimpen lading nyang puthuk
kamu melihat bunga ke sungai,riko ndeleng kembang nyang kali
bapak menyimpan nasi ke sungai,bapak nyimpen sego nyang kali
nenek menyapu air di rumah,embyah nyapu byanyu nong umah
aku mencium bunga,isun ngambung kembang
mereka melihat air ke bukit,wong-wong ndeleng byanyu nyang puthuk
kamu mengambil buku ke pasar,riko njuwut buku nyang pasar
nenek memasak bunga ke pasar,embyah ngolah kembang nyang pasar
anak melihat anak dari bukit,lare ndeleng lare teko puthuk
kamu menyimpan kunci di pasar,riko nyimpen kunci nong pasar
nenek memasak sayur,embyah ngolah jangan
mereka mencium pisang,wong-wong ngambung gedhang
anak membawa kunci,lare nggowo kunci
anak menyapu bunga ke sungai,lare nyapu kembang nyang kali
dia memasak nasi dari bukit,yane ngolah sego teko puthuk
bapak memasak anak,bapak ngolah lare
kamu menyimpan sayur di pasar,riko nyimpen jangan nong pasar
mereka melihat kunci,wong-wong ndeleng kunci
ibu memukul buku,mak nyampat buku
anak memasak pisang,lare ngolah gedhang
bapak membawa kunci,bapak nggowo kunci
saya menyimpan anak dari rumah,isun nyimpen lare teko umah
saya mengambil nasi di rumah,isun njuwut sego nong umah
kamu memukul buku,riko nyampat buku
saya melihat kunci ke rumah,isun ndeleng kunci nyang umah
aku memasak anak di bukit,isun ngolah lare nong puthuk
bapak menyimpan bunga ke dapur,bapak nyimpen kembang nyang pawon
ibu membawa buku,mak nggowo buku
anak menyapu anak ke pasar,lare nyapu lare nyang pasar
kamu melihat sayur,riko ndeleng jangan
dia mengambil nasi dari sungai,yane njuwut sego teko kali
kamu memasak air di rumah,riko ngolah byanyu nong umah
aku menyimpan pisau dari pasar,isun nyimpen lading teko pasar
aku melihat buku ke pasar,isun ndeleng buku nyang pasar
bapak menyimpan pisang,bapak nyimpen gedhang
dia memasak nasi,yane ngolah sego
ibu menyimpan anak dari sungai,mak nyimpen lare teko kali
ibu menyapu pisau di bukit,mak nyapu lading nong puthuk
ibu mengambil pisang di rumah,mak njuwut gedhang nong umah
aku mengambil pisang ke bukit,isun njuwut gedhang nyang puthuk
nenek memukul anak,embyah nyampat lare
bapak membawa kunci dari dapur,bapak nggowo kunci teko pawon
aku memasak pisau dari bukit,isun ngolah lading teko puthuk
kamu memasak sayur dari sungai,riko ngolah jangan teko kali
saya menyapu pisau,isun nyapu lading
bapak mengambil nasi di pasar,bapak njuwut sego nong pasar
nenek memukul nasi,embyah nyampat sego
aku mencium kunci dari dapur,isun ngambung kunci teko pawon
aku memanggil pisang,isun ngundang gedhang
mereka memukul nasi,wong-wong nyampat sego
saya memasak sayur,isun ngolah jangan
aku memanggil bunga,isun ngundang kembang
ibu mengambil nasi,mak njuwut sego
bapak memanggil pisau di pasar,bapak ngundang lading nong pasar
dia mengambil nasi di sungai,yane njuwut sego nong kali
mereka mengambil air dari pasar,wong-wong njuwut byanyu teko pasar
kamu mencium pisang dari sungai,riko ngambung gedhang teko kali
ibu memukul pisau ke bukit,mak nyampat lading nyang puthuk
mereka memasak buku ke sungai,wong-wong ngolah buku nyang kali
dia memukul buku dari rumah,yane nyampat buku teko umah
nenek mencium kunci ke bukit,embyah ngambung kunci nyang puthuk
saya menyimpan bunga ke dapur,isun nyimpen kembang nyang pawon
ibu menyimpan nasi dari bukit,mak nyimpen sego teko puthuk
ibu mengambil buku dari sungai,mak njuwut buku teko kali
nenek mengambil bunga,embyah njuwut kembang
anak menyapu pisang di bukit,lare nyapu gedhang nong puthuk
nenek memasak air di pasar,embyah ngolah byanyu nong pasar
aku memukul air ke sungai,isun nyampat byanyu nyang kali
ibu mengambil bunga,mak njuwut kembang
nenek mencium bunga dari dapur,embyah ngambung kembang teko pawon
kamu melihat anak ke rumah,riko ndeleng lare nyang umah
nenek memukul bunga,embyah nyampat kembang
bapak menyapu sayur,bapak nyapu jangan
dia mencium buku,yane ngambung buku
mereka memukul anak di sungai,wong-wong nyampat lare nong kali
saya mencium kunci,isun ngambung kunci
saya memanggil nasi ke rumah,isun ngundang sego nyang umah
saya menyapu air dari sungai,isun nyapu byanyu teko kali
aku menyapu pisau,isun nyapu lading
nenek memasak pisang,embyah ngolah gedhang
